DateTime,Kitchen Cabinet,2nd Floor Bedroom,Main Bedroom,Living Room,Outside
44778.71528,26.1,,,,
44778.75694,26,,,,
44778.79861,26,,,,
44778.84028,26.1,,,,
44778.88194,26.2,,,,
44778.92361,26.2,,,,
44778.96528,26.3,,,,
44779.00694,26.4,,,,
44779.04861,26.4,,,,
44779.09028,26.4,,,,
44779.13194,26.3,,,,
44779.17361,26.2,,,,
44779.21528,26.2,,,,
44779.25694,26.1,,,,
44779.29861,26.1,,,,
44779.34028,26.1,,,,
44779.38194,25.9,,,,
44779.42361,25.9,,,,
44779.46528,26,,,,
44779.50694,26.1,,,,
44779.54861,26.1,,,,
44779.59028,26,,,,
44779.63194,26,,,,
44779.67361,26,,,,
44779.71528,26.1,,,,
44779.75694,26.1,,,,
44779.79861,26,,,,
44779.84028,26,,,,
44779.88194,25.9,,,,
44779.92361,26.1,,,,
44779.96528,26.3,,,,
44780.00694,26.4,,,,
44780.04861,26.4,,,,
44780.09028,26.4,,,,
44780.13194,26.5,,,,
44780.17361,26.6,,,,
44780.21528,26.5,,,,
44780.25694,26.4,,,,
44780.29861,26.4,,,,
44780.34028,26.4,,,,
44780.38194,26.2,,,,
44780.42361,26.2,,,,
44780.46528,26.2,,,,
44780.50694,26.3,,,,
44780.54861,26.3,,,,
44780.59028,26.5,,,,
44780.63194,26.5,,,,
44780.67361,26.5,,,,
44780.71528,26.6,,,,
44780.75694,26.6,,,,
44780.79861,26.5,,,,
44780.84028,26.5,,,,
44780.88194,26.5,,,,
44780.92361,26.6,,,,
44780.96528,26.7,,,,
44781.00694,26.6,,,,
44781.04861,26.6,,,,
44781.09028,26.6,,,,
44781.13194,26.6,,,,
44781.17361,26.6,,,,
44781.21528,26.6,,,,
44781.25694,26.5,,,,
44781.29861,26.5,,,,
44781.34028,26.5,,,,
44781.38194,26.3,,,,
44781.42361,26.3,,,,
44781.46528,26.4,,,,
44781.50694,26.5,,,,
44781.54861,26.3,,,,
44781.59028,26.2,,,,
44781.63194,26.2,,,,
44781.67361,26.2,,,,
44781.71528,26.1,,,,
44781.75694,26.2,,,,
44781.79861,26.1,,,,
44781.84028,26.1,,,,
44781.88194,26.1,,,,
44781.92361,26.3,,,,
44781.96528,26.2,,,,
44782.00694,26.3,,,,
44782.04861,26.3,,,,
44782.09028,26.4,,,,
44782.13194,26.5,,,,
